id,name
313,Urząd Skarbowy
314,1 Maja
315,Barniewicka
316,Niedziałkowskiego
317,Biwakowa
318,Konstelacji
319,Nowy Świat
320,Tysiąclecia
321,Poznańska
322,Park Oliwski
323,Sarnia
324,Cmentarz Oliwski
325,Bobrowa
326,Czyżewskiego
327,Brama Oliwska
328,Koziorożca
329,Zeusa
330,Konkordii
331,Archikatedra Oliwska
332,Startowa
333,Pomorska - Osiedle
334,Iławska
335,Myśliborska
336,Krzemowa
337,al. Płażyńskiego
338,Krasickiego
339,Plac Wolności
340,Teatr Miniatura / Radio Gdańsk
341,Opera Bałtycka
342,Uniwersytet Medyczny
343,Kościuszki
344,Pogotowie Ratunkowe
345,Wojska Polskiego
346,Łanowa II
347,Zajezdnia
348,Rondo Kaszubskie
349,Wyspiańskiego
350,Złota Karczma
351,Mjr Słabego
352,Żwirki i Wigury
353,Obrońców Westerplatte
354,Bażyńskiego
355,Uniwersytet Gdański
356,Zamenhofa
357,Jednorożca
358,Marynarki Polskiej
359,Śnieżna
360,Polsat Plus Arena Gdańsk
361,Swojska
362,Stocznia Północna
363,Świbnieńska II
364,Dworkowa
365,Akademia Muzyczna
366,Kamienna Grobla
367,Opacka
368,Górskiego
369,Nadwodna
370,Przesypownia
371,Jeziorowa
372,Jaworowa
373,Boguckiego
374,Dobra
375,Szadółki
376,Przywidzka
377,Na Szańcach
378,Kopeckiego
379,Łanowa I
380,Łanowa III
381,Łanowa IV
382,Modra I
383,Modra II
384,Modra III
385,Modra IV
386,Bursztynowa
387,Powstanców Warszawy/Drzymały
388,Dąbrowskiego
389,Powstańców Warszawy
390,Emilii Plater
391,Życzliwa
392,Reymonta
393,Gostyńska Szpital
394,Osiedle Wschód
395,Piekarnicza
396,Belgradzka
397,"SDO ""Złota Jesień"""
398,Skarżyńskiego
399,Odyseusza
400,Terminal - Cargo
401,Kopernika/Sienkiewicza
402,Chopina/Rondo
403,Zastawna/Rondo
404,Karskiego
405,Chopina/Waląga
406,Batalionów Chłopskich
407,Chopina/Żwirki i Wigury
408,Beniowskiego
409,Wiśniewskiego
410,Świętokrzyska
411,Osiedle Piastowskie
412,Góralska
413,"Ogrody Działkowe ""Rębiechowo"" III"
414,Rozstaje
415,Srebrna
416,Falowa
417,Stokrotki
418,Gospody
419,Sobieszewska
420,Oriona
421,Hynka
422,Olszyńska
423,Przybrzeżna
424,Kolonia Mysia
425,Osiedle Kasprowicza
426,Głucha
427,Fabryczny
428,Keplera
429,Wodnika
430,Wieżycka
431,Przymorze SKM
432,Abrahama
433,Łapińska
434,Liliowa
435,Szadółki Obwodnica
436,Lubowidzka
437,Potęgowska
438,Połczyńska
439,Norblina
440,Bajana
441,Forsycji
442,Katarzynki
443,Heweliusza
444,"Hala ""Olivia"""
445,Turystyczna
446,Sąsiedzka
447,Wołkowyska
448,Zacna
449,Staw Wróbla
450,Czermińskiego
451,Szmaragdowa
452,Knyszyńska
453,Osiedle Jary
454,Rogalińska
455,Smoluchowskiego
456,Marsa
457,Owczarnia
458,Kontenerowa
459,Śluza
460,Terminal DCT
461,Hokejowa
462,Telewizyjna
463,Zbieżna
464,Centrum Onkologii
465,Traugutta
466,Szpital Zakaźny
467,Radarowa
468,Centrum Medycyny Inwazyjnej
469,Zabytkowa
470,Cmentarz Srebrzysko
471,Przytulna
472,Szczęśliwa
473,Porębskiego
474,Osiedle Świętokrzyskie
475,Elfów
476,Baśniowa
477,Rębowo
478,Leszczynowa
479,Jabłoniowa Osiedle
480,Wilanowska
481,Piotrkowska
482,Jeleniogórska
483,Żaglowa - AmberExpo
484,Uczniowska
485,Chodowieckiego
486,Politechnika
487,Miszewskiego
488,Klonowa
489,Tetmajera
490,Derdowskiego
491,Subisława
492,Osiedle Wejhera
493,Helska
494,Plac Solidarności
495,Stocznia SKM
496,Twarda
497,Politechnika SKM
498,Reja
499,Jana Pawła II
500,Okopowa
501,Chmielna
502,Kaczeńce
503,Ugory eMOCja
504,Powstańców Warszawskich
505,Borowiecka
506,Paska
507,Pastelowa
508,Ciasna
509,Meteorytowa
510,Dwór Ferberów
511,Skrajna
512,Brzegi
513,Węzeł Kliniczna
514,Cmentarna
515,Leśna Góra
516,Leśna Góra - Przychodnia
517,Mostostal
518,Mjr Hubala
519,Meczet
520,Szpital Marynarki Wojennej
521,Jasia i Małgosi
522,Broniewskiego
523,Kolonia Uroda
524,Górecka
525,Gdańska
526,Przylesie
527,Sternicza
528,Okrężna
529,Wczasy
530,3 Maja
531,Mazurska
532,Smolna
533,Kasztanowa
534,Latarnia Morska
535,Sopot PKP - Niepodległości
536,"Hotel ""Marina"""
537,Hestii
538,Polna
539,Bitwy pod Płowcami
540,"Sanatorium ""Leśnik"""
541,Kamienny Potok SKM
542,Wejherowska
543,Malczewskiego
544,Wybickiego
545,Kochanowskiego
546,Młyńska
547,Plac Kusocińskiego
548,Korty Tenisowe
549,Grand Hotel
550,Grunwaldzka
551,Cebertowicza
552,Bohaterów Monte Cassino
553,Goyki
554,Brodwino Szkoła
555,23 Marca
556,Focha
557,Wysockiego
558,Jasieńska
559,Jasień PKM
560,Biblioteka Główna UG
561,Matarnia PKM
562,Junaków
563,Małopolska
564,Kolberga
565,Brodwino
566,Rondo Mazowieckiego
567,Faktoria
568,Cyprysowa
569,Cicha (Cmentarz)
570,Osiedle Bursztynowe
571,Zastawna
572,Rogozińskiego
573,Słowackiego
574,Andruszkiewicza
575,Powstańców Warszawy/Plater
576,Powstańców Warszawy/Gałczyńskiego
577,Osiedle Olimp
578,Plac Afrodyty
579,Szkoła Metropolitalna
580,Starowiejska
581,Kasztelańska
582,Szlachecka
583,Jankowo
584,Bogatka II
585,Bogatka I
586,Bogatka III
587,Makro
588,Hotel
589,Łąkowa
590,Sezonowa
591,Brzegowa
592,Pocztowa
593,Sportowa
594,Piaskowa
595,Szkoła
596,Kopernika/Azaliowa
597,Jagiełły
598,Jana z Kolna
599,Hospicjum
600,Rondo Bursztynowe
601,Trakt Konny
602,Sulmin
603,Sulmińska
604,Do Zdroju
605,Stara Piła
606,Nad Stawem
607,Osiedle Cytrusowe
608,Topazowa
609,Kolorowa
610,Dziewicza
611,Otomin - Pętla
612,Trakt Gdański
613,Wrzosowe Wzgórze
614,Kraszewskiego
615,Zajezdnia WRZESZCZ
616,Rotmanka - Rondo
617,Królewskie Wzgórze
618,Łabędzia
619,Stolema
620,Zabornia
621,Lawendowe Wzgórze
622,Ujeścisko
623,Pokładowa
624,Geodetów
625,Kłosowa
626,Maszynowa
627,Bałtycka
628,Klubowa
629,Wiślina
630,Paderewskiego
631,Stężycka
632,Łagowska
633,Kolbudzka
634,Rdestowa - Kolonia
635,Barzychowskiej
636,Podleckiego
637,Nytbusz
638,Bielińskiego
639,Warneńska
640,Łódzka
641,Częstochowska
642,Stokłosy
643,Głęboka
644,Przeróbka
645,Lenartowicza
646,Zimna
647,Rozłogi
648,Nowosądecka
649,Brzozowa
650,Nowy Port Zajezdnia
651,Nowy Port Oliwska
652,Rybołowców
653,Przychodnia
654,Na Zaspę
655,Rębiechowo PKP
656,Oliwska
657,Kaszubska Droga
658,Pszenna
659,Karwiny Nowowiczlińska
